,parliament,edate,year,province,riding,id,candidate_name,birth_year,gender,censuscategory,party_major_group,votes,percent_votes,elected,age,oldest_mp_age,margin
27980,35,1993-10-25,1993,Newfoundland and Labrador,BONAVISTA--TRINITY--CONCEPTION,29707,"TOBIN, Lynn",,F,Health,Third_Party,370,1.0546719,Not elected,,69,-73.7130131
27981,35,1993-10-25,1993,Ontario,MISSISSAUGA WEST,28267,"SINGH, Gurdev",,M,Trades,Third_Party,115,0.11994284,Not elected,,69,-55.74943416
27982,35,1993-10-25,1993,Ontario,LONDON--MIDDLESEX,24768,"O'BRIEN, Pat",1948,M,Social,Liberal,27232,53.868217,Elected,45,69,34.43119
27983,35,1993-10-25,1993,Quebec,SAINT-MAURICE,4912,"DANEAULT, Pauline B.",,F,Management,Conservative,1909,4.0954242,Not elected,,69,-49.96674779999999
27984,35,1993-10-25,1993,New Brunswick,MONCTON,21057,"LEGERE, Isaac J.",,M,Business,Third_Party,553,1.0894619,Not elected,,69,-65.2120821
27985,35,1993-10-25,1993,Alberta,EDMONTON SOUTHEAST,27721,"SCHELL, Ed",,M,Social,Third_Party,149,0.29735771,Not elected,,69,-45.86094029
27986,35,1993-10-25,1993,Ontario,YORK SOUTH--WESTON,15048,"KELEMBET, Roma",,F,,Third_Party,269,0.74999303,Not elected,,69,-69.37016997
27987,35,1993-10-25,1993,Ontario,HASTINGS--FRONTENAC--LENNOX AND ADDINGTON,764,"BAKER, Ross",,M,Trades,Independent,413,0.8591637,Not elected,,69,-49.238611299999995
27988,35,1993-10-25,1993,Quebec,CHARLESBOURG,21086,"LEJEUNE, Nelson",,M,Sales,Third_Party,318,0.4895471,Not elected,,69,-58.8795819
27989,35,1993-10-25,1993,Quebec,LONGUEUIL,20944,"LEDOUX, Richard",,M,Social,Conservative,4561,7.7364092,Not elected,,69,-58.23254680000001
27990,35,1993-10-25,1993,Ontario,LANARK--CARLETON,1204,"BEGLEY, Bracken",,F,,Third_Party,67,0.094588682,Not elected,,69,-49.300469318
27991,35,1993-10-25,1993,Manitoba,WINNIPEG SOUTH,14058,"KANTOROVICH, Rubin",,M,Science,Third_Party,68,0.12997438,Not elected,,69,-49.47054662
27992,35,1993-10-25,1993,Ontario,HAMILTON--WENTWORTH,30183,"VAN DEN ENDEN, Rien",,M,Management,Third_Party,460,0.70966846,Not elected,,69,-45.102514539999994
27993,35,1993-10-25,1993,Ontario,BEACHES--WOODBINE,7230,"FREDEEN, Donalda",,F,Social,Third_Party,265,0.61192447,Not elected,,69,-40.11915053
27994,35,1993-10-25,1993,Quebec,SAINT-HUBERT,27052,"ROCHEFORT, Nathalie",,F,Social,CCF_NDP,903,1.4696308,Not elected,,69,-55.426079200000004
27995,35,1993-10-25,1993,British Columbia,SKEENA,918,"BARRETT, Joe",,M,Social,CCF_NDP,6535,20.649666,Not elected,,69,-17.249660000000002
27996,35,1993-10-25,1993,British Columbia,NORTH VANCOUVER,8919,"HANSEN, Arne B.",,M,Social,Third_Party,493,0.97480917,Not elected,,69,-38.99236883
27997,35,1993-10-25,1993,Alberta,CALGARY NORTH,22746,"MCCALLUM, Robert",,M,Business,Independent,268,0.39584658,Not elected,,69,-52.050869420000005
27998,35,1993-10-25,1993,British Columbia,COMOX--ALBERNI,28290,"SKELLY, Bob",,M,MP,CCF_NDP,9365,29.633263,Not elected,,69,-6.8632729999999995
27999,35,1993-10-25,1993,Alberta,MACLEOD,30967,"WHITNEY, Roy",,M,Management,Liberal,6196,16.452032,Not elected,,69,-46.817662999999996
28000,35,1993-10-25,1993,Ontario,HAMILTON EAST,2484,"BRINK, James",,M,Social,Independent,117,0.34235552,Not elected,,69,-66.95537348
28001,35,1993-10-25,1993,Saskatchewan,YORKTON--MELVILLE,24754,"NYSTROM, Lorne",,M,Social,CCF_NDP,9487,29.237549,Not elected,,69,-3.4455150000000003
28002,35,1993-10-25,1993,Ontario,SCARBOROUGH WEST,8073,"GOGAN, Greg",,M,Business,Independent,578,1.474866,Not elected,,69,-52.965041
28003,35,1993-10-25,1993,Manitoba,PORTAGE--INTERLAKE,27789,"SCHWARTZ, Gary",,M,Social,Third_Party,179,0.50194889,Not elected,,69,-40.17554111
28004,35,1993-10-25,1993,Quebec,AHUNTSIC,3548,"CHAMLIAN, Haytoug",,M,Social,Independent,551,1.0944483,Not elected,,69,-43.966628699999994
28005,35,1993-10-25,1993,Manitoba,WINNIPEG TRANSCONA,27829,"SCOTT, Robert",,M,Science,Third_Party,362,0.87517828,Not elected,,69,-37.98563872
28006,35,1993-10-25,1993,Ontario,YORK WEST,1166,"BÉDARD, Jean-Paul",,M,Social,Third_Party,164,0.51551253,Not elected,,69,-79.31348947000001
28007,35,1993-10-25,1993,Ontario,SARNIA--LAMBTON,6936,"FOLEY, Julie",,F,Social,CCF_NDP,2649,6.197506,Not elected,,69,-41.368175
28008,35,1993-10-25,1993,Quebec,BOURASSA,4537,"COUTURE, Miville",,M,Social,Third_Party,480,1.1052014,Not elected,,69,-40.8878446
28009,35,1993-10-25,1993,Prince Edward Island,MALPEQUE,28770,"STAPLES, Garth E.",,M,Business,Conservative,5499,31.588924,Not elected,,69,-29.181984
28010,35,1993-10-25,1993,Quebec,LAURENTIDES,9704,"HOULE, Patricia",,F,Business,CCF_NDP,820,1.1896816,Not elected,,69,-59.4869844
28011,35,1993-10-25,1993,Ontario,LINCOLN,5668,"DOLBY, Brian",,M,,Independent,935,1.6799626,Not elected,,69,-50.5120734
28012,35,1993-10-25,1993,Saskatchewan,KINDERSLEY--LLOYDMINSTER,939,"BARSKY, Rick",,M,Culture,Independent,392,1.2899405,Not elected,,69,-39.1589045
28013,35,1993-10-25,1993,Quebec,MONT ROYAL,22622,"MATTHEWS, Ken",,M,Social,Third_Party,312,0.65349895,Not elected,,69,-82.28641205
28014,35,1993-10-25,1993,Saskatchewan,THE BATTLEFORDS--MEADOW LAKE,29377,"TAYLOR, Len",1952,M,MP,CCF_NDP,9772,31.231422,Elected,41,69,2.329891
28015,35,1993-10-25,1993,Quebec,ROSEMONT,9328,"HÉROUX, Hélène",,F,Sales,Third_Party,189,0.40450305,Not elected,,69,-62.54815695
28016,35,1993-10-25,1993,Ontario,Kent,9743,"HOWE, Marty",,M,Social,Third_Party,146,0.40178326,Not elected,,69,-63.379931739999996
28017,35,1993-10-25,1993,Ontario,SARNIA--LAMBTON,2534,"BROGDEN, Bruce",,M,Management,Reform_Alliance,9055,21.184755,Not elected,,69,-26.380926
28018,35,1993-10-25,1993,Ontario,LONDON EAST,9436,"HILL, Jim",,M,Culture,Third_Party,282,0.55674011,Not elected,,69,-55.27323889
28019,35,1993-10-25,1993,Quebec,BONAVENTURE--ÎLES-DE-LA-MADELEINE,8355,"GRAY, Darryl",,M,Social,Conservative,5929,21.52634,Not elected,,69,-22.067314999999997
28020,35,1993-10-25,1993,Manitoba,LISGAR--MARQUETTE,11027,"JEFFERS, Larry",,M,Resources,Independent,355,1.0880558,Not elected,,69,-39.936247200000004
28021,35,1993-10-25,1993,Quebec,BERTHIER--MONTCALM,9047,"HARVEY, Laurent",,M,Business,Independent,272,0.4605954,Not elected,,69,-60.4192756
28022,35,1993-10-25,1993,Ontario,PERTH--WELLINGTON--WATERLOO,2479,"BRIGHTWELL, Harry",,M,Resources,Conservative,10835,23.289557,Not elected,,69,-19.968618000000003
28023,35,1993-10-25,1993,Quebec,LOTBINIÈRE,27029,"ROBITAILLE, André-Pierre",,M,Business,CCF_NDP,707,1.4104176,Not elected,,69,-52.3649924
28024,35,1993-10-25,1993,Ontario,THUNDER BAY--NIPIGON,26415,"RAMSAY, David",,M,Social,CCF_NDP,3372,9.0356121,Not elected,,69,-56.0170379
28025,35,1993-10-25,1993,British Columbia,KOOTENAY EAST,23068,"MCINNIS, Jake",,M,Management,Conservative,3840,10.905993,Not elected,,69,-37.517751
28026,35,1993-10-25,1993,Alberta,EDMONTON NORTH,25126,"PANCIUK, Mitch",,M,Business,Conservative,4592,9.2769547,Not elected,,69,-30.190509300000002
28027,35,1993-10-25,1993,Manitoba,BRANDON--SOURIS,24873,"OBACH, Eldon",,M,Sales,Independent,336,0.91411161,Not elected,,69,-32.08640739
28028,35,1993-10-25,1993,Ontario,BURLINGTON,20048,"KUEGLE, Mike",,M,Social,Conservative,13577,26.261122,Not elected,,69,-17.994196000000002
28029,35,1993-10-25,1993,New Brunswick,MIRAMICHI,24385,"MURPHY, Peter",,M,Business,Conservative,7036,22.831554,Not elected,,69,-38.300290000000004
28030,35,1993-10-25,1993,Saskatchewan,MOOSE JAW--LAKE CENTRE,24153,"MORRIS, John",,M,Social,Liberal,9354,27.202141,Not elected,,69,-3.134905
28031,35,1993-10-25,1993,Ontario,SIMCOE CENTRE,25669,"PETERS, Pat",,F,Business,CCF_NDP,1872,2.7889514,Not elected,,69,-35.1211206
28032,35,1993-10-25,1993,Ontario,VICTORIA--HALIBURTON,5823,"DOYLE, Martin",,M,Culture,Independent,622,1.1140565,Not elected,,69,-35.6229395
28033,35,1993-10-25,1993,Manitoba,ST. BONIFACE,22341,"MARION, Marcelle",,F,Business,Independent,2008,4.2347679,Not elected,,69,-59.1222571
28034,35,1993-10-25,1993,Manitoba,WINNIPEG SOUTH CENTRE,21413,"LOEWEN, Bill",,M,Business,Independent,3099,7.3563275,Not elected,,69,-54.0793305
28035,35,1993-10-25,1993,New Brunswick,MONCTON,31320,"WOODWORTH, Clyde",,M,,Reform_Alliance,6310,12.431293,Not elected,,69,-53.87025100000001
28036,35,1993-10-25,1993,Nova Scotia,CUMBERLAND--COLCHESTER,10057,"JACK, Barbara",,F,Resources,CCF_NDP,2393,5.5853796,Not elected,,69,-36.990010399999996
28037,35,1993-10-25,1993,Ontario,YORK WEST,22297,"MARCHI, Sergio",1956,M,MP,Liberal,25396,79.829002,Elected,37,69,69.188697
28038,35,1993-10-25,1993,Quebec,MÉGANTIC--COMPTON--STANSTEAD,24493,"NAYLOR, Eugene",,M,Science,Liberal,13602,35.334457,Not elected,,69,-9.383037999999999
28039,35,1993-10-25,1993,British Columbia,PORT MOODY--COQUITLAM,7684,"GEDDES, Paul",,M,Social,Third_Party,239,0.40083858,Not elected,,69,-33.573164420000005
28040,35,1993-10-25,1993,Ontario,NORTHUMBERLAND,24674,"NOEL, Leona",,F,Social,Independent,292,0.60314381,Not elected,,69,-48.94140019
28041,35,1993-10-25,1993,Quebec,TROIS-RIVIÈRES,3817,"CHOQUETTE, Maryse",,F,Social,CCF_NDP,370,0.79312342,Not elected,,69,-52.63981458
28042,35,1993-10-25,1993,Ontario,BROADVIEW--GREENWOOD,9950,"HYMAN, Bob",,M,Management,Third_Party,389,1.0084251,Not elected,,69,-60.062215900000005
28043,35,1993-10-25,1993,Quebec,CHAMBLY,29836,"TREMBLAY, Hélène",,F,Management,Conservative,4760,7.7878308,Not elected,,69,-51.9052382
28044,35,1993-10-25,1993,British Columbia,SURREY NORTH,26319,"QUANCE, Anthony",,M,Sales,Third_Party,376,0.62033921,Not elected,,69,-36.319540790000005
28045,35,1993-10-25,1993,British Columbia,SAANICH--GULF ISLANDS,8609,"GUEST, Andy",,M,Business,Third_Party,524,0.73627561,Not elected,,69,-36.47093539
28046,35,1993-10-25,1993,Ontario,BEACHES--WOODBINE,9153,"HAZE, Leanne",,F,Culture,Third_Party,335,0.77356488,Not elected,,69,-39.957510119999995
28047,35,1993-10-25,1993,British Columbia,NORTH ISLAND--POWELL RIVER,22516,"MASCALL, Michael",,M,Social,Third_Party,1015,2.1838758,Not elected,,69,-37.095768199999995
28048,35,1993-10-25,1993,Newfoundland and Labrador,GANDER--GRAND FALLS,748,"BAKER, George",1942,M,Social,Liberal,24202,78.083565,Elected,51,69,58.522344999999994
28049,35,1993-10-25,1993,Ontario,ERIE,26888,"ROBBINS, Bill",,M,Trades,Independent,586,1.4410427,Not elected,,69,-47.254395300000006
28050,35,1993-10-25,1993,Ontario,LONDON WEST,9496,"HOCKIN, Tom",,M,MP,Conservative,15166,23.572018,Not elected,,69,-24.742378000000002
28051,35,1993-10-25,1993,Quebec,LAVAL WEST,1814,"BLATTER, Rick",,M,Health,Third_Party,649,1.0548557,Not elected,,69,-45.184882300000005
28052,35,1993-10-25,1993,Saskatchewan,PRINCE ALBERT--CHURCHILL RIVER,7341,"FUNK, Ray",,M,Social,CCF_NDP,9095,30.269245,Not elected,,69,-8.340267
28053,35,1993-10-25,1993,Alberta,YELLOWHEAD,22228,"MANN, Alex S.",,M,Science,Independent,1147,2.7701969,Not elected,,69,-52.2714631
28054,35,1993-10-25,1993,British Columbia,OKANAGAN CENTRE,5055,"DAVIS, Jack",,M,Culture,Independent,1082,1.6430285,Not elected,,69,-44.9798045
28055,35,1993-10-25,1993,Ontario,OTTAWA--VANIER,20241,"LAFORTUNE, Serge",,M,Business,Third_Party,141,0.29033852,Not elected,,69,-70.18161547999999
28056,35,1993-10-25,1993,Ontario,YORK SOUTH--WESTON,5977,"DUDA, Felix",,M,,Third_Party,81,0.22583432,Not elected,,69,-69.89432868
28057,35,1993-10-25,1993,Manitoba,PROVENCHER,9973,"IFTODY, David",1956,M,Business,Liberal,16119,44.037373,Elected,37,69,7.256233999999999
28058,35,1993-10-25,1993,Ontario,THUNDER BAY--ATIKOKAN,7805,"GIBBONS, Colyne",,F,Business,Reform_Alliance,5378,15.552342,Not elected,,69,-41.709079
28059,35,1993-10-25,1993,Alberta,MACLEOD,9431,"HILL, Grant",1943,M,Health,Reform_Alliance,23828,63.269695,Elected,50,69,45.97859699999999
28060,35,1993-10-25,1993,Ontario,BROADVIEW--GREENWOOD,25143,"PAPADAKIS, John",,M,MP,Conservative,3601,9.335062,Not elected,,69,-51.735579
28061,35,1993-10-25,1993,British Columbia,PORT MOODY--COQUITLAM,653,"AYLING, William",,M,Business,Third_Party,333,0.55849057,Not elected,,69,-33.41551243000001
28062,35,1993-10-25,1993,Quebec,SAINT-HENRI--WESTMOUNT,25818,"PILON, Louise",,F,Business,Independent,581,1.3823788,Not elected,,69,-60.3369092
28063,35,1993-10-25,1993,Newfoundland and Labrador,LABRADOR,25797,"PIERCEY, G. Wayne",,M,Management,Conservative,2141,18.938522,Not elected,,69,-58.204338
28064,35,1993-10-25,1993,Saskatchewan,SASKATOON--DUNDURN,21385,"LLOYD, Bob",,M,Science,Third_Party,81,0.19435181,Not elected,,69,-35.11529119
28065,35,1993-10-25,1993,Ontario,NEPEAN,28126,"SIDDIQUI, Nizam",,M,Management,CCF_NDP,2078,3.4230554,Not elected,,69,-56.2217886
28066,35,1993-10-25,1993,Saskatchewan,SOURIS--MOOSE MOUNTAIN,2054,"BOUCHARD, David",,M,Resources,Third_Party,269,0.79916817,Not elected,,69,-31.633986829999998
28067,35,1993-10-25,1993,Ontario,WILLOWDALE,27552,"SALSBERG, Tom",,M,Social,Third_Party,285,0.61001712,Not elected,,69,-60.65282688
28068,35,1993-10-25,1993,British Columbia,VICTORIA,9862,"HUNT, Patrick",,M,Sales,Reform_Alliance,15978,27.578232,Not elected,,69,-9.629424999999998
28069,35,1993-10-25,1993,Ontario,YORK CENTRE,1146,"BECK, John",,M,Trades,Reform_Alliance,2140,5.4940825,Not elected,,69,-64.1523945
